product_id;product_name;category;series;capacity_m3h;head_m;power_kw;material;application_industry;price_idr;stock;rating;warranty_months
WL-0018;Wilo-CronoLine-IL 600/165-90;Inline Centrifugal;CronoLine-IL;600;165;90;Bronze Fitted;Food & Beverage;286800000;15;4,4;18
WL-0019;Wilo-CronoLine-IL 600/155-90;Inline Centrifugal;CronoLine-IL;600;155;90;Stainless Steel 304;Food & Beverage;267600000;12;4,2;12
WL-0020;Wilo-CronoLine-IL 600/80-75;Inline Centrifugal;CronoLine-IL;600;80;75;Stainless Steel 316L;Wastewater Treatment;265400000;30;4,4;6
WL-0021;Wilo-CronoLine-IL 600/50-90;Inline Centrifugal;CronoLine-IL;600;50;90;Duplex Steel;Wastewater Treatment;357000000;6;4,4;12
WL-0022;Wilo-CronoLine-IL 420/180-55;Inline Centrifugal;CronoLine-IL;420;180;55;Stainless Steel 304;Chemical Processing;181300000;13;3,7;18
WL-0023;Wilo-CronoLine-IL 600/245-90;Inline Centrifugal;CronoLine-IL;600;245;90;Duplex Steel;Manufacturing;355400000;22;4,4;18
WL-0024;Wilo-CronoLine-IL 600/95-90;Inline Centrifugal;CronoLine-IL;600;95;90;Cast Iron;Manufacturing;224000000;27;3,9;6
WL-0025;Wilo-CronoLine-IL 600/45-90;Inline Centrifugal;CronoLine-IL;600;45;90;Stainless Steel 316L;Chemical Processing;321600000;9;3,8;6
WL-0026;Wilo-CronoLine-IL 440/100-55;Inline Centrifugal;CronoLine-IL;440;100;55;Stainless Steel 304;Pharmaceutical;171500000;29;4,6;18
WL-0027;Wilo-CronoLine-IL 600/65-75;Inline Centrifugal;CronoLine-IL;600;65;75;Stainless Steel 304;Wastewater Treatment;249000000;16;4,3;24
WL-0028;Wilo-VeroLine-IPL 600/45-90;Inline Centrifugal;VeroLine-IPL;600;45;90;Bronze Fitted;Manufacturing;271100000;9;4,2;12
WL-0029;Wilo-VeroLine-IPL 480/80-75;Inline Centrifugal;VeroLine-IPL;480;80;75;Stainless Steel 304;Wastewater Treatment;242600000;18;3,9;18
WL-0030;Wilo-VeroLine-IPL 600/250-90;Inline Centrifugal;VeroLine-IPL;600;250;90;Duplex Steel;Chemical Processing;413700000;29;4,2;24
WL-0031;Wilo-VeroLine-IPL 600/145-90;Inline Centrifugal;VeroLine-IPL;600;145;90;Stainless Steel 316L;Manufacturing;340100000;5;3,8;24
WL-0032;Wilo-VeroLine-IPL 600/170-90;Inline Centrifugal;VeroLine-IPL;600;170;90;Cast Iron;Water Treatment;197400000;28;4,6;6
WL-0033;Wilo-VeroLine-IPL 600/55-90;Inline Centrifugal;VeroLine-IPL;600;55;90;Stainless Steel 304;Wastewater Treatment;280800000;6;4,5;24
WL-0034;Wilo-VeroLine-IPL 600/40-90;Inline Centrifugal;VeroLine-IPL;600;40;90;Duplex Steel;Water Treatment;371800000;13;3,9;24
WL-0035;Wilo-VeroLine-IPL 600/120-90;Inline Centrifugal;VeroLine-IPL;600;120;90;Duplex Steel;Chemical Processing;335600000;17;5;18
WL-0036;Wilo-VeroLine-IPL 300/50-45;Inline Centrifugal;VeroLine-IPL;300;50;45;Duplex Steel;Water Treatment;186000000;22;4,2;6
WL-0037;Wilo-VeroLine-IPL 600/185-90;Inline Centrifugal;VeroLine-IPL;600;185;90;Duplex Steel;Food & Beverage;351400000;25;5;18
WL-0038;Wilo-VeroLine-IPL 415/155-55;Inline Centrifugal;VeroLine-IPL;415;155;55;Cast Iron;Food & Beverage;133500000;14;4,3;12
WL-0039;Wilo-VeroLine-IPL 600/140-90;Inline Centrifugal;VeroLine-IPL;600;140;90;Bronze Fitted;Water Treatment;331200000;24;4,3;18
WL-0040;Wilo-VeroLine-IPL 600/145-90;Inline Centrifugal;VeroLine-IPL;600;145;90;Duplex Steel;Manufacturing;355300000;17;4,2;6
WL-0041;Wilo-VeroLine-IPL 600/25-90;Inline Centrifugal;VeroLine-IPL;600;25;90;Stainless Steel 316L;Wastewater Treatment;315100000;17;4,4;12
WL-0042;Wilo-VeroLine-IPL 600/50-90;Inline Centrifugal;VeroLine-IPL;600;50;90;Stainless Steel 304;Food & Beverage;285100000;25;4,3;12
WL-0043;Wilo-VeroLine-IPL 600/160-90;Inline Centrifugal;VeroLine-IPL;600;160;90;Duplex Steel;Pharmaceutical;393800000;30;4;6
WL-0044;Wilo-VeroLine-IPL 600/115-90;Inline Centrifugal;VeroLine-IPL;600;115;90;Duplex Steel;Food & Beverage;364700000;16;4,6;6
WL-0045;Wilo-VeroLine-IPL 600/165-90;Inline Centrifugal;VeroLine-IPL;600;165;90;Cast Iron;Food & Beverage;235600000;29;4,5;18
WL-0046;Wilo-VeroLine-IPL 355/15-55;Inline Centrifugal;VeroLine-IPL;355;15;55;Stainless Steel 304;Water Treatment;147900000;8;4;6
WL-0047;Wilo-VeroLine-IPL 600/15-90;Inline Centrifugal;VeroLine-IPL;600;15;90;Cast Iron;Wastewater Treatment;187000000;16;3,7;6
WL-0048;Wilo-VeroLine-IPL 440/75-75;Inline Centrifugal;VeroLine-IPL;440;75;75;Duplex Steel;Manufacturing;274300000;5;4,3;24
WL-0049;Wilo-VeroLine-IPL 500/110-75;Inline Centrifugal;VeroLine-IPL;500;110;75;Duplex Steel;Manufacturing;308300000;9;4,1;24
WL-0050;Wilo-VeroLine-IPL 600/145-90;Inline Centrifugal;VeroLine-IPL;600;145;90;Stainless Steel 304;Pharmaceutical;272000000;25;4,5;12
WL-0051;Wilo-VeroLine-IPL 530/150-75;Inline Centrifugal;VeroLine-IPL;530;150;75;Stainless Steel 316L;Chemical Processing;252600000;22;4,3;18
WL-0052;Wilo-VeroLine-IPL 485/195-75;Inline Centrifugal;VeroLine-IPL;485;195;75;Bronze Fitted;Pharmaceutical;246400000;15;4,2;6
WL-0053;Wilo-VeroLine-IPL 600/120-90;Inline Centrifugal;VeroLine-IPL;600;120;90;Stainless Steel 304;Manufacturing;304800000;3;4,6;18
WL-0054;Wilo-VeroLine-IPL 600/195-90;Inline Centrifugal;VeroLine-IPL;600;195;90;Cast Iron;Pharmaceutical;209800000;18;4,9;12
WL-0055;Wilo-Atmos TERA 600/55-90;Inline Centrifugal;Atmos TERA;600;55;90;Duplex Steel;Manufacturing;354500000;1;4,6;6
WL-0056;Wilo-Atmos TERA 600/40-90;Inline Centrifugal;Atmos TERA;600;40;90;Cast Iron;Manufacturing;205600000;3;4,3;6
WL-0057;Wilo-Atmos TERA 600/15-90;Inline Centrifugal;Atmos TERA;600;15;90;Stainless Steel 316L;Water Treatment;301800000;17;4,3;12
WL-0058;Wilo-Atmos TERA 600/240-90;Inline Centrifugal;Atmos TERA;600;240;90;Stainless Steel 316L;Wastewater Treatment;314200000;16;4,6;12
WL-0059;Wilo-Atmos TERA 600/60-90;Inline Centrifugal;Atmos TERA;600;60;90;Duplex Steel;Manufacturing;388500000;24;4,2;24
WL-0060;Wilo-Atmos TERA 195/175-30;Inline Centrifugal;Atmos TERA;195;175;30;Stainless Steel 304;Chemical Processing;107600000;26;5;24
WL-0061;Wilo-Atmos TERA 600/135-90;Inline Centrifugal;Atmos TERA;600;135;90;Stainless Steel 304;Water Treatment;256800000;4;4,1;24
WL-0062;Wilo-Atmos TERA 600/70-90;Inline Centrifugal;Atmos TERA;600;70;90;Stainless Steel 316L;Chemical Processing;328700000;14;4,2;24
WL-0063;Wilo-Atmos TERA 600/115-90;Inline Centrifugal;Atmos TERA;600;115;90;Cast Iron;Wastewater Treatment;205100000;21;4,5;6
WL-0064;Wilo-Atmos TERA 600/55-75;Inline Centrifugal;Atmos TERA;600;55;75;Cast Iron;Chemical Processing;195600000;24;3,9;18
WL-0065;Wilo-Atmos TERA 600/85-90;Inline Centrifugal;Atmos TERA;600;85;90;Cast Iron;Manufacturing;222700000;7;4,7;12
WL-0066;Wilo-Atmos TERA 600/115-90;Inline Centrifugal;Atmos TERA;600;115;90;Duplex Steel;Chemical Processing;388400000;5;4,6;24
WL-0067;Wilo-Atmos TERA 600/80-90;Inline Centrifugal;Atmos TERA;600;80;90;Stainless Steel 304;Food & Beverage;299900000;15;4,3;12
WL-0068;Wilo-Atmos TERA 600/160-75;Inline Centrifugal;Atmos TERA;600;160;75;Cast Iron;Chemical Processing;187200000;26;4,1;6
WL-0069;Wilo-Atmos TERA 600/145-90;Inline Centrifugal;Atmos TERA;600;145;90;Cast Iron;Wastewater Treatment;199200000;18;4,5;6
WL-0070;Wilo-Atmos TERA 510/95-75;Inline Centrifugal;Atmos TERA;510;95;75;Cast Iron;Manufacturing;193600000;6;4,9;24
WL-0071;Wilo-Atmos TERA 465/80-75;Inline Centrifugal;Atmos TERA;465;80;75;Bronze Fitted;Chemical Processing;249300000;7;4,1;24
WL-0072;Wilo-Atmos TERA 600/110-90;Inline Centrifugal;Atmos TERA;600;110;90;Cast Iron;Manufacturing;196100000;13;4,6;6
WL-0073;Wilo-Atmos TERA 280/15-37;Inline Centrifugal;Atmos TERA;280;15;37;Bronze Fitted;Food & Beverage;131300000;30;4,2;24
WL-0074;Wilo-Atmos TERA 175/190-22;Inline Centrifugal;Atmos TERA;175;190;22;Stainless Steel 316L;Chemical Processing;101800000;23;4,3;24
WL-0075;Wilo-Atmos TERA 600/50-90;Inline Centrifugal;Atmos TERA;600;50;90;Stainless Steel 304;Manufacturing;297100000;10;4,8;12
WL-0076;Wilo-Atmos TERA 280/45-37;Inline Centrifugal;Atmos TERA;280;45;37;Cast Iron;Pharmaceutical;99700000;24;4,5;6
WL-0077;Wilo-Atmos TERA 600/100-90;Inline Centrifugal;Atmos TERA;600;100;90;Stainless Steel 316L;Water Treatment;349900000;2;4;24
WL-0078;Wilo-Atmos TERA 600/120-90;Inline Centrifugal;Atmos TERA;600;120;90;Duplex Steel;Pharmaceutical;374600000;6;5;6
WL-0079;Wilo-Atmos TERA 600/110-110;Inline Centrifugal;Atmos TERA;600;110;110;Duplex Steel;Water Treatment;400400000;28;4;12
WL-0080;Wilo-Atmos TERA 600/15-90;Inline Centrifugal;Atmos TERA;600;15;90;Cast Iron;Pharmaceutical;188900000;3;3,7;12
WL-0081;Wilo-Atmos TERA 600/210-90;Inline Centrifugal;Atmos TERA;600;210;90;Bronze Fitted;Water Treatment;322500000;29;4,1;12
WL-0082;Wilo-CronoTwin-DL 600/185-90;Inline Centrifugal;CronoTwin-DL;600;185;90;Duplex Steel;Pharmaceutical;401700000;2;4,3;6
WL-0083;Wilo-CronoTwin-DL 600/70-75;Inline Centrifugal;CronoTwin-DL;600;70;75;Bronze Fitted;Wastewater Treatment;285700000;19;4,8;18
WL-0084;Wilo-CronoTwin-DL 600/115-75;Inline Centrifugal;CronoTwin-DL;600;115;75;Stainless Steel 316L;Manufacturing;272300000;22;4;18
WL-0085;Wilo-CronoTwin-DL 600/100-90;Inline Centrifugal;CronoTwin-DL;600;100;90;Stainless Steel 304;Food & Beverage;274500000;13;4,5;12
WL-0086;Wilo-CronoTwin-DL 300/130-55;Inline Centrifugal;CronoTwin-DL;300;130;55;Stainless Steel 316L;Chemical Processing;188400000;11;4,8;6
WL-0087;Wilo-CronoTwin-DL 600/55-90;Inline Centrifugal;CronoTwin-DL;600;55;90;Cast Iron;Chemical Processing;210500000;20;4,3;6
WL-0088;Wilo-CronoTwin-DL 600/165-90;Inline Centrifugal;CronoTwin-DL;600;165;90;Cast Iron;Pharmaceutical;214300000;7;4,4;18
WL-0089;Wilo-CronoTwin-DL 600/180-90;Inline Centrifugal;CronoTwin-DL;600;180;90;Stainless Steel 304;Food & Beverage;264900000;29;4,5;6
WL-0090;Wilo-CronoTwin-DL 225/185-37;Inline Centrifugal;CronoTwin-DL;225;185;37;Stainless Steel 304;Food & Beverage;122500000;10;4,3;12
WL-0091;Wilo-CronoTwin-DL 600/100-90;Inline Centrifugal;CronoTwin-DL;600;100;90;Bronze Fitted;Pharmaceutical;320200000;23;3,8;18
WL-0092;Wilo-CronoTwin-DL 600/145-90;Inline Centrifugal;CronoTwin-DL;600;145;90;Duplex Steel;Wastewater Treatment;404200000;17;3,7;6
WL-0093;Wilo-CronoTwin-DL 170/90-18,5;Inline Centrifugal;CronoTwin-DL;170;90;18,5;Duplex Steel;Food & Beverage;84100000;30;4,5;6
WL-0094;Wilo-CronoTwin-DL 370/125-55;Inline Centrifugal;CronoTwin-DL;370;125;55;Stainless Steel 304;Food & Beverage;175600000;4;4,2;6
WL-0095;Wilo-CronoTwin-DL 405/130-55;Inline Centrifugal;CronoTwin-DL;405;130;55;Duplex Steel;Manufacturing;222100000;9;4;18
WL-0096;Wilo-CronoTwin-DL 285/85-45;Inline Centrifugal;CronoTwin-DL;285;85;45;Duplex Steel;Manufacturing;190500000;23;3,5;18
WL-0097;Wilo-CronoTwin-DL 510/110-75;Inline Centrifugal;CronoTwin-DL;510;110;75;Stainless Steel 304;Wastewater Treatment;249500000;21;4,2;18
WL-0098;Wilo-CronoTwin-DL 495/130-75;Inline Centrifugal;CronoTwin-DL;495;130;75;Duplex Steel;Chemical Processing;306800000;9;3,9;6
WL-0099;Wilo-CronoTwin-DL 265/180-45;Inline Centrifugal;CronoTwin-DL;265;180;45;Cast Iron;Wastewater Treatment;103100000;14;4,2;18
WL-0100;Wilo-CronoTwin-DL 600/40-90;Inline Centrifugal;CronoTwin-DL;600;40;90;Cast Iron;Water Treatment;209700000;11;4,6;12
WL-0101;Wilo-CronoTwin-DL 600/40-75;Inline Centrifugal;CronoTwin-DL;600;40;75;Stainless Steel 316L;Manufacturing;263400000;24;4,4;24
WL-0102;Wilo-CronoTwin-DL 600/95-90;Inline Centrifugal;CronoTwin-DL;600;95;90;Duplex Steel;Wastewater Treatment;349400000;14;4,1;6
WL-0103;Wilo-CronoTwin-DL 600/150-90;Inline Centrifugal;CronoTwin-DL;600;150;90;Cast Iron;Water Treatment;199300000;29;4,8;12
WL-0104;Wilo-CronoTwin-DL 600/160-90;Inline Centrifugal;CronoTwin-DL;600;160;90;Duplex Steel;Water Treatment;343200000;27;4,9;18
WL-0105;Wilo-CronoTwin-DL 445/15-75;Inline Centrifugal;CronoTwin-DL;445;15;75;Duplex Steel;Pharmaceutical;275300000;5;5;24
WL-0106;Wilo-CronoTwin-DL 600/105-90;Inline Centrifugal;CronoTwin-DL;600;105;90;Stainless Steel 304;Water Treatment;258500000;10;4,2;18
WL-0107;Wilo-CronoTwin-DL 530/70-75;Inline Centrifugal;CronoTwin-DL;530;70;75;Cast Iron;Food & Beverage;167900000;7;4;12
WL-0108;Wilo-CronoTwin-DL 120/140-18,5;Inline Centrifugal;CronoTwin-DL;120;140;18,5;Cast Iron;Food & Beverage;57000000;25;4,3;24
WL-0109;Wilo-Helix V 565/145-90;Multistage Vertical;Helix V;565;145;90;Duplex Steel;Pharmaceutical;576900000;5;4;12
WL-0110;Wilo-Helix V 600/195-90;Multistage Vertical;Helix V;600;195;90;Stainless Steel 304;Food & Beverage;402800000;29;4;24
WL-0111;Wilo-Helix V 485/15-55;Multistage Vertical;Helix V;485;15;55;Cast Iron;Food & Beverage;198600000;24;4,3;18
WL-0112;Wilo-Helix V 265/145-37;Multistage Vertical;Helix V;265;145;37;Bronze Fitted;Pharmaceutical;204800000;28;4,4;12
WL-0113;Wilo-Helix V 530/100-75;Multistage Vertical;Helix V;530;100;75;Stainless Steel 316L;Food & Beverage;374800000;26;4,2;6
WL-0114;Wilo-Helix V 555/145-90;Multistage Vertical;Helix V;555;145;90;Bronze Fitted;Water Treatment;454700000;28;4,6;24
WL-0115;Wilo-Helix V 120/50-22;Multistage Vertical;Helix V;120;50;22;Stainless Steel 304;Food & Beverage;106900000;27;4,2;24
WL-0116;Wilo-Helix V 600/105-90;Multistage Vertical;Helix V;600;105;90;Stainless Steel 316L;Oil & Gas;514900000;27;4,9;12
WL-0117;Wilo-Helix V 600/75-90;Multistage Vertical;Helix V;600;75;90;Stainless Steel 304;Water Treatment;383200000;22;4,1;12
WL-0118;Wilo-Helix V 600/160-75;Multistage Vertical;Helix V;600;160;75;Bronze Fitted;Oil & Gas;437800000;9;4,4;6
WL-0119;Wilo-Helix V 600/75-75;Multistage Vertical;Helix V;600;75;75;Stainless Steel 316L;Oil & Gas;418500000;21;3,9;24
WL-0120;Wilo-Helix V 600/45-75;Multistage Vertical;Helix V;600;45;75;Duplex Steel;Oil & Gas;496000000;1;4,3;6
WL-0121;Wilo-Helix V 600/15-90;Multistage Vertical;Helix V;600;15;90;Stainless Steel 316L;Food & Beverage;429900000;19;4,6;18
WL-0122;Wilo-Helix V 600/130-90;Multistage Vertical;Helix V;600;130;90;Cast Iron;Water Treatment;355300000;20;4,2;24
WL-0123;Wilo-Helix V 600/235-90;Multistage Vertical;Helix V;600;235;90;Stainless Steel 316L;Pharmaceutical;470500000;26;4,4;18
WL-0124;Wilo-Helix V 375/50-55;Multistage Vertical;Helix V;375;50;55;Bronze Fitted;Power Plant;294100000;17;4,4;6
WL-0125;Wilo-Helix V 600/65-90;Multistage Vertical;Helix V;600;65;90;Bronze Fitted;Power Plant;468200000;7;4;18
WL-0126;Wilo-Helix V 600/65-90;Multistage Vertical;Helix V;600;65;90;Cast Iron;Pharmaceutical;336600000;14;4,6;6
WL-0127;Wilo-Helix V 600/210-90;Multistage Vertical;Helix V;600;210;90;Duplex Steel;Power Plant;517800000;22;3,9;12
WL-0128;Wilo-Helix V 600/150-90;Multistage Vertical;Helix V;600;150;90;Stainless Steel 316L;Chemical Processing;534100000;3;3,5;18
WL-0129;Wilo-Helix V 600/30-110;Multistage Vertical;Helix V;600;30;110;Duplex Steel;Oil & Gas;539800000;22;4,3;6
WL-0130;Wilo-Helix V 600/135-90;Multistage Vertical;Helix V;600;135;90;Stainless Steel 316L;Power Plant;453600000;10;4,5;24
WL-0131;Wilo-Helix V 600/180-90;Multistage Vertical;Helix V;600;180;90;Stainless Steel 316L;Chemical Processing;538700000;23;4,1;18
WL-0132;Wilo-Helix V 600/145-110;Multistage Vertical;Helix V;600;145;110;Duplex Steel;Food & Beverage;608000000;7;4,5;24
WL-0133;Wilo-Helix V 600/70-90;Multistage Vertical;Helix V;600;70;90;Bronze Fitted;Pharmaceutical;446100000;24;3,7;12
WL-0134;Wilo-Helix EXCEL 600/135-90;Multistage Vertical;Helix EXCEL;600;135;90;Duplex Steel;Power Plant;532700000;10;4;24
WL-0135;Wilo-Helix EXCEL 600/15-90;Multistage Vertical;Helix EXCEL;600;15;90;Duplex Steel;Water Treatment;513500000;10;4,2;18
WL-0136;Wilo-Helix EXCEL 600/90-90;Multistage Vertical;Helix EXCEL;600;90;90;Stainless Steel 304;Chemical Processing;424100000;26;3,7;18
WL-0137;Wilo-Helix EXCEL 600/30-110;Multistage Vertical;Helix EXCEL;600;30;110;Bronze Fitted;Chemical Processing;460400000;15;4,3;12
WL-0138;Wilo-Helix EXCEL 480/140-75;Multistage Vertical;Helix EXCEL;480;140;75;Duplex Steel;Chemical Processing;421100000;26;4,4;12
WL-0139;Wilo-Helix EXCEL 600/65-90;Multistage Vertical;Helix EXCEL;600;65;90;Cast Iron;Oil & Gas;345400000;17;4,3;18
WL-0140;Wilo-Helix EXCEL 600/15-75;Multistage Vertical;Helix EXCEL;600;15;75;Cast Iron;Food & Beverage;286600000;22;3,9;18
WL-0141;Wilo-Helix EXCEL 600/75-90;Multistage Vertical;Helix EXCEL;600;75;90;Stainless Steel 304;Food & Beverage;422600000;5;4;6
WL-0142;Wilo-Helix EXCEL 600/95-90;Multistage Vertical;Helix EXCEL;600;95;90;Cast Iron;Food & Beverage;341600000;16;4;6
WL-0143;Wilo-Helix EXCEL 600/30-90;Multistage Vertical;Helix EXCEL;600;30;90;Bronze Fitted;Chemical Processing;449300000;29;4,5;12
WL-0144;Wilo-Helix EXCEL 600/85-90;Multistage Vertical;Helix EXCEL;600;85;90;Bronze Fitted;Chemical Processing;477000000;13;4;12
WL-0145;Wilo-Helix EXCEL 600/165-90;Multistage Vertical;Helix EXCEL;600;165;90;Stainless Steel 304;Pharmaceutical;407400000;23;4,5;6
WL-0146;Wilo-Helix EXCEL 235/205-30;Multistage Vertical;Helix EXCEL;235;205;30;Cast Iron;Chemical Processing;134300000;8;4;12
WL-0147;Wilo-Helix EXCEL 255/135-30;Multistage Vertical;Helix EXCEL;255;135;30;Duplex Steel;Chemical Processing;213200000;2;4,9;12
WL-0148;Wilo-Helix EXCEL 220/65-37;Multistage Vertical;Helix EXCEL;220;65;37;Cast Iron;Chemical Processing;143400000;5;4,3;24
WL-0149;Wilo-Helix EXCEL 600/95-90;Multistage Vertical;Helix EXCEL;600;95;90;Duplex Steel;Power Plant;544000000;20;3,7;18
WL-0150;Wilo-Helix EXCEL 545/70-75;Multistage Vertical;Helix EXCEL;545;70;75;Bronze Fitted;Power Plant;363000000;27;4,3;24
WL-0151;Wilo-Helix EXCEL 600/40-90;Multistage Vertical;Helix EXCEL;600;40;90;Duplex Steel;Chemical Processing;534400000;29;3,7;12
WL-0152;Wilo-Helix EXCEL 600/130-90;Multistage Vertical;Helix EXCEL;600;130;90;Bronze Fitted;Chemical Processing;467900000;9;4,8;12
WL-0153;Wilo-Helix EXCEL 205/20-30;Multistage Vertical;Helix EXCEL;205;20;30;Stainless Steel 316L;Power Plant;148400000;16;4,3;12
WL-0154;Wilo-Helix EXCEL 600/110-90;Multistage Vertical;Helix EXCEL;600;110;90;Stainless Steel 316L;Chemical Processing;472200000;3;4,5;18
WL-0155;Wilo-Helix EXCEL 430/15-55;Multistage Vertical;Helix EXCEL;430;15;55;Stainless Steel 304;Oil & Gas;261800000;11;4,7;18
WL-0156;Wilo-Helix EXCEL 600/80-90;Multistage Vertical;Helix EXCEL;600;80;90;Duplex Steel;Water Treatment;496800000;5;4,4;12
WL-0157;Wilo-Helix EXCEL 565/105-90;Multistage Vertical;Helix EXCEL;565;105;90;Stainless Steel 304;Chemical Processing;395200000;23;4,3;12
WL-0158;Wilo-Helix EXCEL 600/110-90;Multistage Vertical;Helix EXCEL;600;110;90;Stainless Steel 304;Water Treatment;415900000;14;4,2;24
WL-0159;Wilo-MVI 545/205-90;Multistage Vertical;MVI;545;205;90;Stainless Steel 316L;Power Plant;517200000;15;4,1;24
WL-0160;Wilo-MVI 375/155-45;Multistage Vertical;MVI;375;155;45;Cast Iron;Food & Beverage;175100000;27;4,7;24
WL-0161;Wilo-MVI 600/135-90;Multistage Vertical;MVI;600;135;90;Bronze Fitted;Power Plant;487700000;23;3,8;6
WL-0162;Wilo-MVI 600/135-90;Multistage Vertical;MVI;600;135;90;Duplex Steel;Chemical Processing;575500000;16;4,7;6
WL-0163;Wilo-MVI 600/15-90;Multistage Vertical;MVI;600;15;90;Stainless Steel 316L;Oil & Gas;435800000;25;4,4;24
WL-0164;Wilo-MVI 600/105-90;Multistage Vertical;MVI;600;105;90;Bronze Fitted;Power Plant;491000000;24;4,2;12
WL-0165;Wilo-MVI 600/140-90;Multistage Vertical;MVI;600;140;90;Bronze Fitted;Food & Beverage;438200000;9;4,3;24
WL-0166;Wilo-MVI 290/130-37;Multistage Vertical;MVI;290;130;37;Bronze Fitted;Water Treatment;217600000;13;4,7;18
WL-0167;Wilo-MVI 600/70-90;Multistage Vertical;MVI;600;70;90;Bronze Fitted;Pharmaceutical;426700000;6;4,4;24
WL-0168;Wilo-MVI 600/115-90;Multistage Vertical;MVI;600;115;90;Stainless Steel 304;Power Plant;377400000;18;4,5;6
WL-0169;Wilo-MVI 600/160-90;Multistage Vertical;MVI;600;160;90;Bronze Fitted;Power Plant;456200000;19;4,8;6
WL-0170;Wilo-MVI 600/115-75;Multistage Vertical;MVI;600;115;75;Cast Iron;Pharmaceutical;309900000;14;3,7;12
WL-0171;Wilo-MVI 600/80-90;Multistage Vertical;MVI;600;80;90;Bronze Fitted;Food & Beverage;426400000;2;4;18
WL-0172;Wilo-MVI 190/25-22;Multistage Vertical;MVI;190;25;22;Bronze Fitted;Oil & Gas;129200000;7;4,5;24
WL-0173;Wilo-MVI 600/85-90;Multistage Vertical;MVI;600;85;90;Stainless Steel 316L;Oil & Gas;489200000;25;4,5;24
WL-0174;Wilo-MVI 600/195-75;Multistage Vertical;MVI;600;195;75;Stainless Steel 316L;Chemical Processing;414900000;9;4,3;6
WL-0175;Wilo-MVI 545/65-75;Multistage Vertical;MVI;545;65;75;Bronze Fitted;Water Treatment;345900000;24;4,7;6
WL-0176;Wilo-MVI 600/25-90;Multistage Vertical;MVI;600;25;90;Stainless Steel 316L;Food & Beverage;435000000;21;4,7;6
WL-0177;Wilo-MVI 575/135-90;Multistage Vertical;MVI;575;135;90;Cast Iron;Water Treatment;338500000;8;3,8;12
WL-0178;Wilo-MVI 455/105-75;Multistage Vertical;MVI;455;105;75;Cast Iron;Power Plant;252100000;5;4,5;12
WL-0179;Wilo-MVI 600/120-90;Multistage Vertical;MVI;600;120;90;Stainless Steel 304;Chemical Processing;383300000;22;5;6
WL-0180;Wilo-MVI 220/20-37;Multistage Vertical;MVI;220;20;37;Duplex Steel;Food & Beverage;207200000;15;4;18
